,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,dividend_yield,PER,PBR,BuyAfterSale,Volume,BuyAmount,SellAmount,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,FI_buy,FI_sell,FDS_buy,FDS_sell,IT_buy,IT_sell,DS_buy,DS_sell,DH_buy,DH_sell,stock_and_cache_dividend,revenue,revenue_month
44,2012-03-13,2330,48137168,3890801446,80.6,81.3,80.1,81.3,1.3,13492,3.68,15.69,3.35,,,,,320.0,1.0,6479131.0,796.0,7902.0,8379.0, ,298.0,27.0,0.0,6479131.0,406.0,5336.0,4957.0,,,,,,,,,,,,,
45,2012-03-14,2330,63309967,5249393947,82.4,83.2,82.0,83.2,1.9,19676,3.59,16.06,3.42,,,,,1365.0,1.0,6479438.0,868.0,8398.0,7902.0, ,193.0,232.0,3.0,6479438.0,308.0,5409.0,5336.0,,,,,,,,,,,,,
46,2012-03-15,2330,30609333,2539385308,83.2,83.2,82.5,83.2,0.0,8083,3.59,16.06,3.42,,,,,181.0,2.0,6479438.0,627.0,7950.0,8398.0, ,78.0,91.0,0.0,6479438.0,232.0,5550.0,5409.0,,,,,,,,,,,,,
47,2012-03-16,2330,29210462,2408154058,83.2,83.8,81.1,81.1,-2.1,7247,3.69,15.66,3.34,,,,,584.0,0.0,6479438.0,267.0,8267.0,7950.0, ,56.0,167.0,0.0,6479438.0,34.0,5417.0,5550.0,,,,,,,,,,,,,
48,2012-03-19,2330,37508089,3122020988,83.7,84.2,82.4,83.7,2.6,9547,3.57,16.16,3.44,,,,,665.0,7.0,6479438.0,642.0,8283.0,8267.0, ,237.0,33.0,1.0,6479438.0,207.0,5590.0,5417.0,,,,,,,,,,,,,
49,2012-03-20,2330,30105892,2514856356,84.0,84.1,82.8,83.2,-0.5,10460,3.59,16.06,3.42,,,,,372.0,3.0,6479438.0,316.0,8336.0,8283.0, ,231.0,65.0,1.0,6479438.0,129.0,5653.0,5590.0,,,,,,,,,,,,,
50,2012-03-21,2330,76183506,6457880070,84.8,85.2,83.8,84.9,1.7,15662,3.52,16.39,3.49,,,,,798.0,0.0,6479438.0,869.0,8265.0,8336.0, ,711.0,190.0,7.0,6479438.0,453.0,5909.0,5653.0,,,,,,,,,,,,,
51,2012-03-22,2330,38057031,3237513284,85.0,85.7,84.3,85.2,0.3,11767,3.51,16.45,3.51,,,,,824.0,0.0,6479438.0,657.0,8432.0,8265.0, ,145.0,334.0,0.0,6479438.0,134.0,5709.0,5909.0,,,,,,,,,,,,,
52,2012-03-23,2330,29495296,2502726135,85.0,85.4,84.4,85.4,0.2,7136,3.5,16.49,3.51,,,,,435.0,0.0,6479438.0,634.0,8233.0,8432.0, ,144.0,106.0,2.0,6479438.0,82.0,5683.0,5709.0,,,,,,,,,,,,,
53,2012-03-26,2330,59940923,4994279778,85.1,85.1,82.5,83.6,-1.8,12949,3.59,16.14,3.44,,,,,1881.0,5.0,6479438.0,751.0,9358.0,8233.0, ,745.0,935.0,5.0,6479438.0,27.0,4770.0,5683.0,,,,,,,,,,,,,
54,2012-03-27,2330,38560309,3278129021,85.0,85.8,84.3,85.8,2.2,12672,3.5,16.56,3.53,,,,,399.0,0.0,6479438.0,2057.0,7700.0,9358.0, ,261.0,46.0,8.0,6479438.0,523.0,5239.0,4770.0,,,,,,,,,,,,,
55,2012-03-28,2330,28304065,2423045022,86.5,86.5,84.6,85.5,-0.3,7402,3.51,16.51,3.52,,,,,603.0,0.0,6479438.0,429.0,7874.0,7700.0, ,227.0,167.0,0.0,6479438.0,64.0,5136.0,5239.0,,,,,,,,,,,,,
56,2012-03-29,2330,49939887,4189509235,84.5,84.5,83.4,84.1,-1.4,9545,3.57,16.24,3.46,,,,,1373.0,0.0,6479438.0,1174.0,8073.0,7874.0, ,313.0,776.0,1.0,6479438.0,57.0,4416.0,5136.0,,,,,,,,,,,,,
57,2012-03-30,2330,43825171,3674698400,83.7,84.9,82.9,84.9,0.8,9943,3.53,16.39,3.49,,,,,570.0,0.0,6479438.0,993.0,7650.0,8073.0, ,350.0,309.0,25.0,6479438.0,113.0,4195.0,4416.0,,,,,,,,,,,,,
58,2012-04-02,2330,23685785,2004876504,84.8,85.2,84.0,85.1,0.2,5739,3.53,16.43,3.5,,,,,213.0,3.0,6479438.0,379.0,7481.0,7650.0, ,334.0,80.0,1.0,6479438.0,53.0,4167.0,4195.0,,,,,,,,,,,,,
59,2012-04-03,2330,31283310,2645055555,85.0,85.0,83.8,85.0,-0.1,9307,3.53,16.41,3.5,,,,,561.0,0.0,6479438.0,473.0,7569.0,7481.0,X ,553.0,616.0,100.0,6479438.0,57.0,3508.0,4167.0,,,,,,,,,,,,,
60,2012-04-05,2330,47674092,3981054535,83.3,84.0,83.1,83.1,-1.9,10496,3.61,16.04,3.42,,,,,1121.0,0.0,6479438.0,597.0,8093.0,7569.0,X ,0.0,1827.0,7.0,6479438.0,0.0,1674.0,3508.0,,,,,,,,,,,,,
61,2012-04-06,2330,34112593,2850369829,84.0,84.0,83.1,83.8,0.7,6984,3.58,16.18,3.45,,,,,771.0,5.0,6479438.0,563.0,8296.0,8093.0,OX ,0.0,1610.0,30.0,6479438.0,0.0,34.0,1674.0,,,,,,,,,,,,,
62,2012-04-09,2330,23247382,1924344706,82.0,83.6,82.0,83.0,-0.8,4830,3.61,16.02,3.42,,,,,0.0,5.0,6479438.0,671.0,7620.0,8296.0,OX ,0.0,0.0,32.0,6479438.0,0.0,2.0,34.0,,,,,,,,,,,,,
63,2012-04-10,2330,33387462,2750637584,83.1,83.5,81.8,82.0,-1.0,8736,3.66,15.83,3.37,,,,,0.0,0.0,6479438.0,86.0,7534.0,7620.0,OX ,0.0,0.0,0.0,6479438.0,0.0,2.0,2.0,,,,,,,,,,,,,
64,2012-04-11,2330,40770099,3375902298,82.0,83.5,81.7,82.4,0.4,9982,3.64,15.91,3.39,,,,,0.0,4.0,6479438.0,106.0,7424.0,7534.0, ,0.0,0.0,2.0,6479438.0,0.0,0.0,2.0,,,,,,,,,,,,,
65,2012-04-12,2330,39454847,3237579871,82.5,82.7,81.5,82.6,0.2,9060,3.63,15.95,3.4,,,,,824.0,0.0,6479438.0,104.0,8144.0,7424.0, ,1044.0,0.0,0.0,6479438.0,392.0,392.0,0.0,,,,,,,,,,,,,
66,2012-04-13,2330,44743187,3771618241,83.4,85.0,82.7,84.9,2.3,12532,3.53,16.39,3.49,,,,,1002.0,0.0,6480151.0,960.0,8186.0,8144.0, ,538.0,33.0,0.0,6480151.0,1164.0,1523.0,392.0,,,,,,,,,,,,,
67,2012-04-16,2330,19776331,1673137250,84.6,85.0,83.8,84.9,0.0,6073,3.53,16.39,3.49,,,,,200.0,0.0,6480151.0,427.0,7959.0,8186.0, ,496.0,170.0,0.0,6480151.0,489.0,1842.0,1523.0,,,,,,,,,,,,,
68,2012-04-17,2330,29502643,2483240605,84.9,84.9,83.4,83.8,-1.1,8235,3.58,16.18,3.45,,,,,388.0,0.0,6480151.0,484.0,7863.0,7959.0, ,1074.0,426.0,0.0,6480151.0,556.0,1972.0,1842.0,,,,,,,,,,,,,
69,2012-04-18,2330,32818738,2781054178,85.0,85.0,84.4,85.0,1.2,9007,3.53,16.41,3.5,,,,,303.0,1.0,6480151.0,496.0,7669.0,7863.0, ,394.0,39.0,0.0,6480151.0,649.0,2582.0,1972.0,,,,,,,,,,,,,
70,2012-04-19,2330,31617591,2694071757,84.5,85.8,84.3,85.8,0.8,11044,3.5,16.56,3.53,,,,,556.0,1.0,6480151.0,396.0,7828.0,7669.0, ,272.0,254.0,0.0,6480151.0,551.0,2879.0,2582.0,,,,,,,,,,,,,
71,2012-04-20,2330,29213382,2479584488,85.0,85.7,84.1,84.3,-1.5,7475,3.56,16.27,3.47,,,,,343.0,1.0,6480151.0,783.0,7387.0,7828.0, ,657.0,524.0,0.0,6480151.0,411.0,2766.0,2879.0,,,,,,,,,,,,,
72,2012-04-23,2330,20351923,1709684570,84.2,84.6,83.4,84.3,0.0,4905,3.56,16.27,3.47,,,,,309.0,0.0,6480151.0,584.0,7112.0,7387.0, ,594.0,415.0,0.0,6480151.0,466.0,2817.0,2766.0,,,,,,,,,,,,,
73,2012-04-24,2330,33319546,2803922726,83.8,84.6,83.6,84.6,0.3,7216,3.55,16.33,3.48,,,,,185.0,0.0,6480151.0,185.0,7112.0,7112.0, ,415.0,257.0,0.0,6480151.0,323.0,2883.0,2817.0,,,,,,,,,,,,,
74,2012-04-25,2330,49611004,4186151236,84.9,84.9,83.9,84.2,-0.4,6924,3.56,16.25,3.47,,,,,985.0,0.0,6480151.0,65.0,8032.0,7112.0, ,436.0,155.0,0.0,6480151.0,103.0,2831.0,2883.0,,,,,,,,,,,,,
75,2012-04-26,2330,21066491,1764147209,84.2,84.2,83.5,84.0,-0.2,7253,3.57,16.22,3.46,,,,,407.0,1.0,6480151.0,185.0,8307.0,8086.0, ,239.0,495.0,60.0,6480151.0,128.0,2403.0,2830.0,,,,,,,,,,,,,
76,2012-04-27,2330,118848912,10407797340,87.0,89.8,86.0,86.0,2.0,22211,3.49,16.6,3.54,,,,,3045.0,2.0,6480151.0,1915.0,9435.0,8307.0, ,4278.0,309.0,0.0,6480151.0,1466.0,3560.0,2403.0,,,,,,,,,,,,,
77,2012-04-30,2330,47647085,4118427614,86.3,87.4,85.7,86.8,0.8,10555,3.46,16.76,3.4,,,,,681.0,0.0,6480151.0,850.0,9266.0,9435.0, ,1069.0,442.0,0.0,6480151.0,765.0,3886.0,3563.0,,,,,,,,,,,,,
78,2012-05-02,2330,48249908,4247465384,87.0,88.9,86.8,88.4,1.6,15172,3.39,17.44,3.47,,,,,853.0,0.0,6480151.0,1044.0,9075.0,9266.0, ,628.0,520.0,9.0,6480151.0,655.0,4012.0,3886.0,38841300.0,32897643.0,0.0,0.0,284000.0,272000.0,1774000.0,1043000.0,0.0,0.0,,,
79,2012-05-03,2330,27728263,2456489599,88.4,89.0,87.9,88.9,0.5,8764,3.37,17.53,3.49,,,,,309.0,0.0,6480151.0,1409.0,7975.0,9075.0, ,301.0,118.0,0.0,6480151.0,398.0,4292.0,4012.0,19686790.0,12947290.0,0.0,0.0,430000.0,491105.0,456000.0,620000.0,0.0,0.0,,,
80,2012-05-04,2330,37719753,3300691040,86.7,88.0,86.7,87.6,-1.3,8630,3.42,17.28,3.44,,,,,1200.0,0.0,6480151.0,546.0,8629.0,7975.0, ,489.0,639.0,2.0,6480151.0,57.0,3708.0,4292.0,22497836.0,34115841.0,0.0,0.0,116000.0,272000.0,893000.0,208000.0,0.0,0.0,,,
81,2012-05-07,2330,47917069,4093394049,86.5,86.5,85.0,85.6,-2.0,11459,3.5,16.88,3.36,,,,,2458.0,3.0,6480151.0,337.0,10747.0,8629.0, ,735.0,973.0,0.0,6480151.0,95.0,2830.0,3708.0,17362889.0,40872998.0,0.0,0.0,616000.0,0.0,1301000.0,282000.0,0.0,0.0,,,
82,2012-05-08,2330,45836390,3886158622,86.0,86.0,84.4,84.4,-1.2,11893,3.55,16.65,3.31,,,,,2215.0,103.0,6480151.0,304.0,12555.0,10747.0, ,1371.0,454.0,1.0,6480151.0,162.0,2537.0,2830.0,14859000.0,39342370.0,0.0,0.0,675000.0,272000.0,2025000.0,679154.0,0.0,0.0,,,
83,2012-05-09,2330,41263531,3480408222,83.9,85.2,83.5,84.6,0.2,10938,3.55,16.69,3.32,,,,,1407.0,3.0,6480151.0,955.0,13004.0,12555.0, ,1728.0,270.0,1.0,6480151.0,330.0,2596.0,2537.0,20271000.0,34700290.0,0.0,0.0,1275000.0,27000.0,1239000.0,195436.0,0.0,0.0,,,
84,2012-05-10,2330,28688623,2440645115,85.0,85.7,84.3,85.3,0.7,7662,3.52,16.82,3.35,,,,,668.0,0.0,6480151.0,1039.0,12633.0,13004.0, ,519.0,176.0,0.0,6480151.0,274.0,2694.0,2596.0,20819000.0,19733581.0,0.0,0.0,1458000.0,425000.0,841000.0,1524000.0,0.0,0.0,,,
85,2012-05-11,2330,33627250,2855459372,85.7,85.7,84.5,85.5,0.2,9906,3.51,16.86,3.35,,,,,1111.0,2.0,6480151.0,1120.0,12622.0,12633.0, ,1081.0,140.0,0.0,6480151.0,129.0,2683.0,2694.0,16150090.0,25241120.0,0.0,0.0,1141000.0,200000.0,1787000.0,334000.0,0.0,0.0,,,
86,2012-05-14,2330,14135562,1204829612,84.8,85.5,84.8,85.4,-0.1,3925,3.51,16.84,3.35,,,,,161.0,1.0,6480177.0,508.0,12274.0,12622.0, ,275.0,40.0,0.0,6480177.0,97.0,2740.0,2683.0,10816000.0,10808000.0,0.0,0.0,494000.0,0.0,953000.0,363000.0,0.0,0.0,,,
87,2012-05-15,2330,30739719,2619349215,85.4,85.7,84.1,85.5,0.1,6610,3.51,16.86,3.35,,,,,359.0,0.0,6480177.0,938.0,11695.0,12274.0, ,762.0,176.0,0.0,6480177.0,164.0,2728.0,2740.0,21732813.0,23841498.0,0.0,0.0,791000.0,45000.0,3088000.0,930000.0,0.0,0.0,,,
